Name,Price,Review,ReviewRating,Photo
The Tap Trailhouse,$$,"It was my first time here today and I had a great time! The service was excellent. We sat at the bar and Greg was the one to service us. He was great, he...",5,https://s3-media1.fl.yelpcdn.com/bphoto/IS8UXp2btdwysqhcATtZfw/o.jpg
The Daily Catch,$$$,"The Daily Catch is a fantastic seafood Italian restaurant located in the heart of the city. The restaurant offers a warm and inviting atmosphere, with a...",5,https://s3-media4.fl.yelpcdn.com/bphoto/nqNaUJeWE5BlgAjMeXlhig/o.jpg
Koy,$$,Adrian was the best. He made our first experience feel as if we're weren't new customers. The food and drinks were great! 100% recommend Koy,5,https://s3-media1.fl.yelpcdn.com/bphoto/v0b4D2yu0Y8czT9I_hRk7w/o.jpg
Jm Curley,$$,"Hipster dive bar with bar food... beverage choices were strong, food was filling and tasty, and ambiance is great. But the PRICES are absurd. $20+ for...",4,https://s3-media2.fl.yelpcdn.com/bphoto/MOxpnBmt6kWtbjj1XIPezg/o.jpg
The Coffee Trike,$$,"First the basics - a delicious latte, probably the best since Bird Rock Coffee Roasters in La Jolla (which is more of a place for fancy latte variations...",5,https://s3-media2.fl.yelpcdn.com/bphoto/4i1p0N9zAEL6ryuTOGExfA/o.jpg
Polcari's Coffee,$$,"Love love love me some Polcari's! 

It's a small shop but BIG impact. We walked in while visiting the area and when you first walk in you have the sweet...",5,https://s3-media4.fl.yelpcdn.com/bphoto/H2lpbW-KdsgFnjgKGsaSIg/o.jpg
DavidsTea,$$,"I love their teas, and I even buy the infuser that was on sale that day. The employees are spot on, as well as the teas. Even it was as small place to sell....",5,https://s3-media3.fl.yelpcdn.com/bphoto/E0eJVjGN18Bv1J7et7f2Kw/o.jpg
Boston Brewin Coffee,$,"Found this place while spending the day in Boston...I wanted some good coffee and a quick bite before starting my day.

It's cute small location and menu...",5,https://s3-media1.fl.yelpcdn.com/bphoto/Na11WzAJCkZysjnJ9ebsYQ/o.jpg
The Well Coffee House,$,"Just went here the other day to work and it was a cute and quaint cafe. The iced latte I had was really delicious, tons of flavors for syrups and little...",5,https://s3-media3.fl.yelpcdn.com/bphoto/9K_zYXP8H5RzUUckjeMBtw/o.jpg
Barrington Coffee Roasting Company,$,"The drinks:
Barrington makes the best coffee. If you just need a quick fix, whatever they're brewing that day will for sure suffice. They also have some...",5,https://s3-media4.fl.yelpcdn.com/bphoto/cpv2RC2DgrtyIY5KsxrN1w/o.jpg
My Cousin's Place,$,"There are so few breakfast places in the North End, but this one is a favorite if you love breakfast sandwiches. They are HUGE but so fresh and they make it...",5,https://s3-media3.fl.yelpcdn.com/bphoto/rv7YGA0lXTCuWfKCFCkcBQ/o.jpg
Render Coffee,$,"Loved this place. Amazing coffee and staff! 

Visited Boston for the weekend and had a wonderful cafe experience here at Render! Got the Peppermint Mocha...",5,https://s3-media4.fl.yelpcdn.com/bphoto/WCM6v1mrr8d5N_ql7OqRHg/o.jpg
Blunch,$$,"Tiny corner comfort spot, a few tables and chairs outside, a few stools along the window shelf inside. Creative pressed sandwiches, the freshest ingredients...",5,https://s3-media3.fl.yelpcdn.com/bphoto/6vvhQL1TYao95UX5d84Rng/o.jpg
PS Gourmet Coffee,$,"WOW! I'll be honest it's really unassuming when you walk in but the iced coffee was incredible and the coffee cake was super yummy. 
We also got the egg and...",5,https://s3-media2.fl.yelpcdn.com/bphoto/fAFDWLWLMro4X6_C2hLugw/o.jpg
The Five Seventy Market,$$,"The nicest freakin' staff at any coffee shop I have ever been to.  I live in Union Park and come here pretty regularly ~ they are the nicest, kindest, most...",5,https://s3-media4.fl.yelpcdn.com/bphoto/Seegj2JfvchkwYqHt56-MQ/o.jpg
Cuppacoffee,$,blink and you miss it! the cutest little gem in the north station area. my friend and i split a blueberry muffin and she got an iced hazelnut coffee. both...,5,https://s3-media2.fl.yelpcdn.com/bphoto/LjZxc7tPXNiu_Tyj3IHTXw/o.jpg
Barrington Coffee Roasting Company,$$,"Was a regular at Barrington Coffee during my stay in Boston! This place was amazing! 

The staff were friendly, and the guy even let me watch him make the...",5,https://s3-media2.fl.yelpcdn.com/bphoto/d1MNZ0WYB2mUD2ljUgBRtg/o.jpg
Another Cup,$,My first time at Another Cup was last week when my team and I came as part of a cafe-based work week. We would all definitely come again! Another Cup is...,5,https://s3-media2.fl.yelpcdn.com/bphoto/IfW_-FoE-1hO-mumc18BuQ/o.jpg
Flour Bakery + Cafe,$$,A great south end neighborhood cafe spot! Great for quick catch-ups and a good work spot (with wifi!) during their less busy hours into the evening. The...,5,https://s3-media2.fl.yelpcdn.com/bphoto/mBzaOE4eOJ0j0bK3KBIvIA/o.jpg
Olga's Kafe,$,Small cafe in the financial district that my coworkers recommended me to try. Most of the hype is for the iced coffee because they have a huge assortment of...,5,https://s3-media2.fl.yelpcdn.com/bphoto/kBy4GG8rU2IU2J1wFJMfKA/o.jpg
Thinking Cup,$$,"Cutest cafe!
Weather you want to meet up with some friends, study, or have a quick bite to eat before walking around the town this place is perfect. 

To...",5,https://s3-media4.fl.yelpcdn.com/bphoto/Ypbn43JD1g_Wl1nSIcE95A/o.jpg
Blue State Coffee,$$,"Excellent lattes that satisfies a coffee lover's needs. Staff is extremely friendly and quick. As a bonus, they serve very good breakfast sandwiches. I had...",5,https://s3-media4.fl.yelpcdn.com/bphoto/4rkCGuOg_kn_yS2b_F3oeA/o.jpg
Asta,$$$$,I can not describe how much I liked this place. It's probably the most interesting/delicious meal I've had in Boston. If you want to be surprised by amazing...,5,https://s3-media3.fl.yelpcdn.com/bphoto/zhxbsGwI2GsYM_q0065h2w/o.jpg
The Glenville Stops,$$,"Ever have one of those meals where you stop, look at your food, and say out loud, ""well this is the best dining experience I think I've ever had""?   Because...",5,https://s3-media2.fl.yelpcdn.com/bphoto/sCPINohAscTXI5KuYlVfFw/o.jpg
Courtyard Tea Room,$$$,"So glad that my girlfriend found out about this place and made a reservation!

I have lived in Boston for over a decade but never heard of this place before...",5,https://s3-media4.fl.yelpcdn.com/bphoto/RqaLjWE7Mixbn5kbCDd2Ow/o.jpg
Row 34,$$$,"Sam is a great server here. Charismatic, knows everything about the menu and drinks, and overall a great time. Outstanding food, great service.",5,https://s3-media3.fl.yelpcdn.com/bphoto/tIuW-qU7mKWomK09KdhnTw/o.jpg
Deuxave,$$$,Perfect for date night! My partner and I visited Boston for our 5 year anniversary and dinner at Deuxave was the right choice. He informed them in advance...,5,https://s3-media3.fl.yelpcdn.com/bphoto/d4K6B3OZDi4Flnkae_pwlA/o.jpg
Corner Tavern,$$,if you come here please do yourself a favor and get the chipotle glazed meatloaf burger. I never would of thought meatloaf would go well as a burger but...,5,https://s3-media4.fl.yelpcdn.com/bphoto/3X5Zc7QLwD9Q87yvI7wEHA/o.jpg
Jm Curley,$$,"Hipster dive bar with bar food... beverage choices were strong, food was filling and tasty, and ambiance is great. But the PRICES are absurd. $20+ for...",4,https://s3-media2.fl.yelpcdn.com/bphoto/MOxpnBmt6kWtbjj1XIPezg/o.jpg
Eastern Standard Kitchen & Drinks,$$$,"What a fantastic, fantastic experience! Thank you to the incredible staff for accommodating a rowdy group of 9 coworkers striving to enjoy all that Eastern...",5,https://s3-media1.fl.yelpcdn.com/bphoto/m35nbN0MtUrJZI1L0lOEdA/o.jpg
Drink,$$$,Drink is a cocktail bar with no menu - you tell the bartender your preferences/what you're in the mood for and they'll whip up a drink for you. Such a cool...,4,https://s3-media3.fl.yelpcdn.com/bphoto/dzfck862-CyGOTr2jCqSkA/o.jpg
Bostonia Public House,$$,"Spent another fabulous brunch on our Galantine Tradition!!!
Food was excellent but I cannot say enough about the service. Our server
Joe Piemonte is the...",5,https://s3-media3.fl.yelpcdn.com/bphoto/iAvC_bmjcSVsA2doclbOqg/o.jpg
Five Horses Tavern,$$,Came here on NYE to ring in the new year with some friends however it was very quiet- the restaurant was maybe at 3/8 capacity. We made the most of it and...,4,https://s3-media3.fl.yelpcdn.com/bphoto/Tslxq_8XN6SD9o36RRlFxw/o.jpg
Ward 8,$$,Great restaurant with great vibes. All of our food was amazing and the drinks were too. All the staff members we encountered were incredibly kind.,5,https://s3-media2.fl.yelpcdn.com/bphoto/QeDSvb3gTbmdYEXRWMUSEA/o.jpg
Lincoln Tavern and Restaurant,$$,"Came during brunch around 10am on a Saturday. Reservations can be made online but we were seated immediately and definitely an hour after or so, it started...",4,https://s3-media3.fl.yelpcdn.com/bphoto/HiumA36rVCP4zrPflHMQgw/o.jpg
The Salty Pig,$$,"The Salty Pig - A Boston Delight for Meat Lovers

As a self-proclaimed foodie, I'm always on the lookout for the next best dining spot. So when I heard...",5,https://s3-media2.fl.yelpcdn.com/bphoto/5UzgfJ2l3LZDBspzRrFfXw/o.jpg
Sister Sorel,$$,Visited Sister Sorel for a surprise birthday party for a friend.  They staff was very helpful and friendly and the food was great.  Pretty much a spread of...,4,https://s3-media1.fl.yelpcdn.com/bphoto/9s6nQ81jask2xEpCM0izKQ/o.jpg
Trophy Room,$$,Great spot. Came here for a quick drink before seeing a show nearby. Ordered the Dirty Shirley (13) and I thought it was pretty decent. I liked the vibe...,4,https://s3-media1.fl.yelpcdn.com/bphoto/WHdZ6m24DWLEI2IWQcWNyA/o.jpg
Sam's,$$,We met with a friend at Sam's who wanted to have brunch...Not knowing much about the place we took a chance and it was an excellent choice and great...,4,https://s3-media3.fl.yelpcdn.com/bphoto/kxNu0Rup4xNU0B-CElKs5Q/o.jpg
Kitchen,$$$,"Came for restaurant week and enjoyed a great meal. Had oysters as an appetizer, followed by the beef wellington and mini donuts for dessert. My dining...",4,https://s3-media3.fl.yelpcdn.com/bphoto/1ru6obS5SALPmsc31EbYUg/o.jpg
The Gallows,$$,"I dig the decor - an Ouija board on one wall, headless and limbless mannequin on another, and hands tied to long strings of varying length hang above the...",4,https://s3-media4.fl.yelpcdn.com/bphoto/T4shZTU5iRO7o2wyo6MCLQ/o.jpg
Cafe Madeleine,$$,"Absolutely perfect. The canales were perfection. Pan au chocolat was one of the lightest and crispest I've ever eaten. Macaron good too, though less...",5,https://s3-media4.fl.yelpcdn.com/bphoto/b-KTA7VrMgNucQerHFjrxA/o.jpg
Menton,$$$$,"Went for dinner with two friends to celebrate a recent milestone. Did the chef's 7 course dinner with Chef Barbara.

I liked it. It was good. I had some...",5,https://s3-media3.fl.yelpcdn.com/bphoto/MVdMf4ka_RC_D4tdTyHJZg/o.jpg
Sycamore,$$$,"Sycamore knocked my socks off. Chef Dave Punch has a winning streak of fantastic restaurants in Newton, otherwise known as the holy trinity in Newton Centre...",5,https://s3-media2.fl.yelpcdn.com/bphoto/g8BHpEMbh4crD7Uy4hNqLg/o.jpg
Navy Yard Bistro,$$,"We have been going to Navy Yard bistro for about seven years. Located in Charlestown's navy yard, close to the USS Constitution and Charlestown's gas light...",5,https://s3-media1.fl.yelpcdn.com/bphoto/WacMFARL-ENeV55BolpRbw/o.jpg
Craigie On Main,$$$$,"Before COVID we went here rarely because of parking, not being able to get a reservation on short notice, etc...
Craigie has become one of our main takeout...",5,https://s3-media2.fl.yelpcdn.com/bphoto/wPC8bPP1BB_PIcbChWuI2A/o.jpg
Lumiere Restaurant,$$$,"Incredible. 

Bright warm lighting, comfortable seating, not noisy - a perfect place to bring parents for a nice dinner. Pricy but the food is...",5,https://s3-media3.fl.yelpcdn.com/bphoto/urEQJqsVqKOy44WeGjg6mw/o.jpg
Mistral,$$$$,Highly recommend making a reservation as they are always pretty packed. This is starting to be our anniversary spot. We always have a very enjoyable...,5,https://s3-media2.fl.yelpcdn.com/bphoto/ea6vXd8SyxeuswXoCIKmrw/o.jpg
Patisserie on Newbury,$,"Hey. If you are a picky eater like me, this place offers the best Sandwiches, I cannot describe the taste! 
  I don't eat bread or Beef in regular days but...",5,https://s3-media3.fl.yelpcdn.com/bphoto/HxkY_U5Wk02Eh8K_jJrTBQ/o.jpg
No. 9 Park,$$$$,"No 9 Park has been on our Boston need-to-go list ever since we moved here a year ago. A year later, we finally booked our reservation! My husband and I both...",5,https://s3-media3.fl.yelpcdn.com/bphoto/q0HGQ7S8qR9MzxAF11bLxg/o.jpg
T.W. Food,$$$,"Don't just go here to eat, go to take some time to experience food.

We had an excellent dinner with interesting taste combinations. The waitstaff happily...",5,https://s3-media1.fl.yelpcdn.com/bphoto/L2CzFJN-jEq1pnhCZpwqIQ/o.jpg
West Bridge,$$$,"Aight, here's the run down.

So we received an invitation from Ford Motors to test drive their cars and in exchange, a complimentary three course meal...",5,https://s3-media4.fl.yelpcdn.com/bphoto/73mdvjrTdnX-DAc6-av_cw/o.jpg
Troquet,$$$$,"GOODBYE TROQUET--BOSTON COMMONS

Having had many stellar meals and wines at Troquet, overlooking Boston Commons, over the years, we decided to take the...",5,https://s3-media4.fl.yelpcdn.com/bphoto/z6wzTU7VLoTvFrqPUlcRFw/o.jpg
La Voile,$$$,"We stopped in for an early (5:30 PM) dinner because we had to catch a flight and overall it's a place that I'd want to visit again.  We had the beet salad,...",5,https://s3-media4.fl.yelpcdn.com/bphoto/nCzjsO10b9Qu_6BQBxnTFQ/o.jpg
Bondir Cambridge,$$$$,"Bit surprised I haven't reviewed this place before, I've been here for several celebratory meals, all fantastic. But I want to give a rave review of my...",5,https://s3-media3.fl.yelpcdn.com/bphoto/n6sD1jal1DGS_4W0TmL4-A/o.jpg
Bistro du Midi,$$$,Had the best server possible. He was elegant and explained the whole menu and specials. Gave us a wine tasting as he about our trip and decided to treat us...,5,https://s3-media2.fl.yelpcdn.com/bphoto/v5l6Te7Q2uTTfp2SyxR4gw/o.jpg
Clio,$$$$,"I'm sad to be writing a much-belated review for Clio as I had the pleasure of an exquisite dining experience here not long before it closed. 

While the...",5,https://s3-media2.fl.yelpcdn.com/bphoto/OtTWaoUGz-kT0kPGV5MP8g/o.jpg
Spot Cafe,$,"Ordered to go! Classic breakfast/brunch spot. Wish I could stay and eat but was in a rush. A cute spot that's warm and inviting!

Ambiance 

Very cozy...",5,https://s3-media4.fl.yelpcdn.com/bphoto/bjZB_Mrhli3sYRS729z7sg/o.jpg
Marliave,$$$,"Directly across from work I have to be a fan.
Dollar oysters are the real deal. (4-6 and 9-10) UM SLURP.

This place is kinda hidden on a dead end ally and...",4,https://s3-media1.fl.yelpcdn.com/bphoto/aGnuFx8E3O5X1iVp1utZAA/o.jpg
Roy's Cold Cuts,$,You know how it is when you really want a meatball parm? Well that happened to me today and it was Roy's to the rescue. Even though I was lugging my...,5,https://s3-media2.fl.yelpcdn.com/bphoto/QDhwu5gc5QgdSIRVtJwaTA/o.jpg
Cafe Gigu,$$,Really cute little lounge that's open late and has surprisingly delicious food! We arrived around midnight and we're promptly seated and the waitress was...,5,https://s3-media1.fl.yelpcdn.com/bphoto/2_Dba1snTBMcEbTuflxj9w/o.jpg
Wheelhouse,$$,Hands down the best burger in Boston. Came here for lunch on 10/24/19. I'm a huge burger guy and I've tried many especially in LA and this is up there with...,5,https://s3-media2.fl.yelpcdn.com/bphoto/b6JvSvlGsKAKynaznd7tKg/o.jpg
Grass Roots Cafe,$,"A eulogy: Heartbroken to see this place closed. 

This was the only food place I made sure to visit EVERY time I came through Boston. I strode through DTX...",5,https://s3-media3.fl.yelpcdn.com/bphoto/p9436fJIO3ZViv2dSFfwBw/o.jpg
North End Fish Market,$$,"The seafood always seems fresh, and their rolls are delicious. it's very affordable and my orders are always ready quickly",5,https://s3-media4.fl.yelpcdn.com/bphoto/mgLVOajpPeu5nmVy1ST8XQ/o.jpg
Sam LaGrassa's,$$,"Ridiculously expensive? Yup. Super hyped and publicized? Yup. Freaking delicious? Absolutely. I've tried nearly all of their sandwiches, and all are good,...",5,https://s3-media4.fl.yelpcdn.com/bphoto/0Dx6vF9tQ30SvcpFylzENA/o.jpg
Mulligans,$,"My go to lunch spot 3-4 days a week. Excellent sandwiches, chicken wings, to die for soups, salads are the bomb (Caesar dressing is so so good), and they...",5,https://s3-media1.fl.yelpcdn.com/bphoto/1haQRcxSuY_fx1Zxgpt2rA/o.jpg
Galleria Umberto,$,"Simply the best bakery(square)  pizza, arancini, panzaroti, and calzone (and all the other things.) The owner was born in Italy and has been doing this for...",5,https://s3-media1.fl.yelpcdn.com/bphoto/tNZbSM1ZOvju9zevxv_JZw/o.jpg
Oliver's Street Cafe,$,"Damn good sandwiches. It's all about the bread and Oliver's does bread right.

I had the Chicken Parmesan Sandwich. It wasn't how you would traditionally...",4,https://s3-media4.fl.yelpcdn.com/bphoto/td_-7QuNda-fty4wDrDMcg/o.jpg
Banh Mi House,$,"The location is pretty sketch - falafel house used to be here but ever since they moved, its been pretty empty and low traffic. However, Banh Mi House...",5,https://s3-media1.fl.yelpcdn.com/bphoto/Fe0TI6sJkz8-3nfPaKB5-Q/o.jpg
Pauli's,$$,"Oh my gosh, my only regret about Pauli's is not stopping by for a philly cheesesteak before my flight back to Los Angeles. After asking around and doing my...",5,https://s3-media2.fl.yelpcdn.com/bphoto/9hiaqb7nzzTEwTPMZkWCUQ/o.jpg
The Five Seventy Market,$$,"The nicest freakin' staff at any coffee shop I have ever been to.  I live in Union Park and come here pretty regularly ~ they are the nicest, kindest, most...",5,https://s3-media4.fl.yelpcdn.com/bphoto/Seegj2JfvchkwYqHt56-MQ/o.jpg
Mike & Patty's - Boston,$$,I don't usually crave sandwiches cause they're usually overloaded so when I bite into it everything just oozes out the back or its back to the middle school...,5,https://s3-media2.fl.yelpcdn.com/bphoto/Z9R_BTp-ot5ZngWqIKobGw/o.jpg
Al's State Street Cafe,$,I think they're adding some kind of addictive drug to these subs because babyyyyyy I've ordered from here 2 days in a row and plan on it again tomorrow!!!...,5,https://s3-media4.fl.yelpcdn.com/bphoto/wRDdd5GT1_zEEGDLTOUqvw/o.jpg
Flour Bakery + Cafe,$$,A great south end neighborhood cafe spot! Great for quick catch-ups and a good work spot (with wifi!) during their less busy hours into the evening. The...,5,https://s3-media2.fl.yelpcdn.com/bphoto/mBzaOE4eOJ0j0bK3KBIvIA/o.jpg
Al's South Street Cafe,$,"TL;DR: Al's is a phenomenal place to grab a sandwich for lunch. The service is quick, the value is excellent, and the sandwiches are delectable, LOADED with...",5,https://s3-media4.fl.yelpcdn.com/bphoto/IUYrllyBbPhrOt7egq_YgA/o.jpg
Rondo's Sub Shop,$,Absolutely hit the spot. Amazing local place with relatively reasonable prices and great portions. Called in for the sandwich and it was ready right on time...,5,https://s3-media2.fl.yelpcdn.com/bphoto/l_HJzF6tXcEnF_oeDjSNeQ/o.jpg
Back Bay Sandwich,$,Best $7 steak/roast beef sandwich I ever had! A little hard to find if you are walking down St. James. You have to enter 31 St. James. Back Bay is next to...,5,https://s3-media4.fl.yelpcdn.com/bphoto/OE06za9_VlRZY-kYJLMO0g/o.jpg
Billy's Sub Shop,$,"I spent the first few years of my life just a few blocks away and remember having walked past Billy's countless times, but somehow haven't made it inside...",5,https://s3-media1.fl.yelpcdn.com/bphoto/ks75r8uBxj4fcR9Ah7YApA/o.jpg
Roast Beast,$,"(Review edited for content - PG version)

So if you want a perfect feast
And you don't mind ingesting some yeast
No, I don't mean infection
So please hide...",5,https://s3-media3.fl.yelpcdn.com/bphoto/F0ic5wbXiEV5XXhWuYbIrw/o.jpg
Cafe Gigu,$$,Really cute little lounge that's open late and has surprisingly delicious food! We arrived around midnight and we're promptly seated and the waitress was...,5,https://s3-media1.fl.yelpcdn.com/bphoto/2_Dba1snTBMcEbTuflxj9w/o.jpg
Ogawa Coffee,$,"the coffee was delicious and cute & the avocado stack was SO good - the sauce was delicious 

came on a Tuesday morning so seating was easy. can agree that...",5,https://s3-media3.fl.yelpcdn.com/bphoto/k6oAprbPP8UiP4MEk-E1OA/o.jpg
The Well Coffee House,$,"Just went here the other day to work and it was a cute and quaint cafe. The iced latte I had was really delicious, tons of flavors for syrups and little...",5,https://s3-media3.fl.yelpcdn.com/bphoto/9K_zYXP8H5RzUUckjeMBtw/o.jpg
Boston News Cafe,$,"I love this little cafe located right in Downtown Crossing!
It's located at the back of Franklin Street (behind 77 Franklin) with doors on the side (Arch)...",5,https://s3-media3.fl.yelpcdn.com/bphoto/QjEkVdHIf_pyPMZenaYk7Q/o.jpg
My Cousin's Place,$,"There are so few breakfast places in the North End, but this one is a favorite if you love breakfast sandwiches. They are HUGE but so fresh and they make it...",5,https://s3-media3.fl.yelpcdn.com/bphoto/rv7YGA0lXTCuWfKCFCkcBQ/o.jpg
Render Coffee,$,"Loved this place. Amazing coffee and staff! 

Visited Boston for the weekend and had a wonderful cafe experience here at Render! Got the Peppermint Mocha...",5,https://s3-media4.fl.yelpcdn.com/bphoto/WCM6v1mrr8d5N_ql7OqRHg/o.jpg
Capital One Café,$,My experience at this specific Capital One location has made me question why I ever banked anywhere else. I have been a Wells Fargo customer for my entire...,5,https://s3-media3.fl.yelpcdn.com/bphoto/Fr6BQQR-S7-u4NXIHeGRJQ/o.jpg
Cafe Hemshin,$,"Today i want to eat something healthy so i found this place. 

Its a buffet with turkish theme dishes. and I am so happy i made this decision. 

EVERYTHING...",5,https://s3-media2.fl.yelpcdn.com/bphoto/lOqw209SW5djrTZnSB7Ciw/o.jpg
Bee's Knees Supply Company,$$$,"I came here with my wife, her friend, and my son.  We had thought to go to the place next door but the line was ridiculous and we had a flight to catch.  So...",4,https://s3-media1.fl.yelpcdn.com/bphoto/zPsdd-RWkUWNAXkzGe1WDg/o.jpg
Capital One Café,$,This is a very conveniently located new type of Cafe/bank set up.  Shannon was the bank representative who patiently and warmly helped me my banking...,5,https://s3-media3.fl.yelpcdn.com/bphoto/sHG2lXA3UJkf9j8VKjVjBg/o.jpg
Borinquen Restaurant & Cafe,$,Pernil sandwich (roast pork) with everything was delicious. Small was big enough. Came with shredded lettuce tomatoes pickles mayo ketchup and mustard....,5,https://s3-media4.fl.yelpcdn.com/bphoto/AitTTde_GByWdxdlaNXgcg/o.jpg
Blue State Coffee,$,"4 stars for the super-late hours (for Boston, at least) and for the fast, friendly service. For BU students, this outlet is perfectly situated right on Comm...",4,https://s3-media1.fl.yelpcdn.com/bphoto/HvKUBlYqSP3TR5XBhEJSQg/o.jpg
Pret A Manger,$$,I was pleasantly surprised at how delicious the grilled cheese was. They grill it up at the counter for you and I like to have mine double toasted. They are...,5,https://s3-media1.fl.yelpcdn.com/bphoto/T8gfB4jgwZFGPMKu_DNweg/o.jpg
Flat Black Coffee Company,$,Having lived in Australia for many years I quickly became accustomed to great tasting coffee so when I randomly found Flat Black and spotting the kangaroo...,5,https://s3-media1.fl.yelpcdn.com/bphoto/UVIajzNw8Np7XPr05v3qXg/o.jpg
Berkeley Perk Cafe,$,"Friendly and attentive staff. Ordered a breakfast  bowl and pastry for my wife and me. Came with fresh cut avocado and was very good. 

When the line was...",5,https://s3-media2.fl.yelpcdn.com/bphoto/TakBDvXPJJliNVh_c20b2g/o.jpg
Cafe Pulse,$,"I am going to tell you right now, the espresso drinks here are fantastic, but you need to be willing to take out a second mortgage on your home to afford...",4,https://s3-media1.fl.yelpcdn.com/bphoto/2GGu3Y8P_rd1mTU5jCTCwQ/o.jpg
Stella,$$$,"I ordered lunch today (for pick up), and it's truly one of the best meals I've had in my life. Not only Stella is one of the only open restaurants in the...",5,https://s3-media4.fl.yelpcdn.com/bphoto/u1QaerSfiedEhpyu9jvLyw/o.jpg
Ashburton Cafe,$,I've been in here several times as I have business in the Ashburton building. The cafe is open (once you clear security) and located down an escalator....,4,https://s3-media2.fl.yelpcdn.com/bphoto/vWcGoEzza7zMymkggVysAQ/o.jpg
Zaika Taste of India,$,"This is in a MALL food court, so please adjust your expectations accordingly.

That said, the food is very, very good and priced reasonably.  I was also...",5,https://s3-media1.fl.yelpcdn.com/bphoto/jkYTQm9DldHlqzzSjMJ7lg/o.jpg
